,Alex,Bob,Win,Hand,Deck
181,2,6,0,5,3
182,3,2,0,5,3
183,3,3,0,5,3
184,3,4,0,5,3
185,3,5,0,5,3
186,4,1,0,5,3
187,4,2,0,5,3
188,4,3,0,5,3
189,4,4,0,5,3
190,5,1,0,5,3
191,5,2,0,5,3
192,5,3,0,5,3
193,6,1,0,5,3
194,6,2,0,5,3
195,0,0,1,5,3
196,0,0,2,5,3
197,0,0,0,0,4
198,0,2,0,1,4
199,1,1,0,1,4
200,1,2,0,1,4
201,2,1,0,1,4
202,2,2,0,1,4
203,3,1,0,1,4
204,2,3,0,2,4
205,3,2,0,2,4
206,3,3,0,2,4
207,4,1,0,2,4
208,4,2,0,2,4
209,5,1,0,2,4
210,2,4,0,3,4
211,2,5,0,3,4
212,3,3,0,3,4
213,3,4,0,3,4
214,3,5,0,3,4
215,4,2,0,3,4
216,4,3,0,3,4
217,4,4,0,3,4
218,5,1,0,3,4
219,5,2,0,3,4
220,5,3,0,3,4
221,6,1,0,3,4
222,6,2,0,3,4
223,0,0,1,3,4
224,2,6,0,4,4
225,3,5,0,4,4
226,3,6,0,4,4
227,4,4,0,4,4
228,4,5,0,4,4
229,5,3,0,4,4
230,5,4,0,4,4
231,6,2,0,4,4
232,6,3,0,4,4
233,0,0,1,4,4
234,0,0,2,4,4
235,3,6,0,5,4
236,4,5,0,5,4
237,4,6,0,5,4
238,5,4,0,5,4
239,5,5,0,5,4
240,5,6,0,5,4
241,6,3,0,5,4
242,6,4,0,5,4
243,6,5,0,5,4
244,0,0,1,5,4
245,0,0,2,5,4
246,0,0,0,0,5
247,0,3,0,1,5
248,1,2,0,1,5
249,1,3,0,1,5
250,2,1,0,1,5
251,2,2,0,1,5
252,3,0,0,1,5
253,3,1,0,1,5
254,4,0,0,1,5
255,0,5,0,2,5
256,0,6,0,2,5
257,1,4,0,2,5
258,1,5,0,2,5
259,1,6,0,2,5
260,2,3,0,2,5
261,2,4,0,2,5
262,2,5,0,2,5
263,2,6,0,2,5
264,3,2,0,2,5
265,3,3,0,2,5
266,3,4,0,2,5
267,3,5,0,2,5
268,4,1,0,2,5
269,4,2,0,2,5
270,4,3,0,2,5
271,4,4,0,2,5
272,5,0,0,2,5
273,5,1,0,2,5
274,5,2,0,2,5
275,5,3,0,2,5
276,6,0,0,2,5
277,6,1,0,2,5
278,6,2,0,2,5
279,0,0,1,2,5
280,0,0,2,2,5
281,0,6,0,3,5
282,1,5,0,3,5
283,1,6,0,3,5
284,2,4,0,3,5
285,2,5,0,3,5
286,2,6,0,3,5
287,3,3,0,3,5
288,3,4,0,3,5
289,3,5,0,3,5
290,3,6,0,3,5
291,4,2,0,3,5
292,4,3,0,3,5
293,4,4,0,3,5
294,4,5,0,3,5
295,5,1,0,3,5
296,5,2,0,3,5
297,5,3,0,3,5
298,5,4,0,3,5
299,6,0,0,3,5
300,6,1,0,3,5
301,6,2,0,3,5
302,6,3,0,3,5
303,0,0,1,3,5
304,0,0,2,3,5
305,1,6,0,4,5
306,2,5,0,4,5
307,2,6,0,4,5
308,3,4,0,4,5
309,3,5,0,4,5
310,3,6,0,4,5
311,4,3,0,4,5
312,4,4,0,4,5
313,4,5,0,4,5
314,4,6,0,4,5
315,5,2,0,4,5
316,5,3,0,4,5
317,5,4,0,4,5
318,5,5,0,4,5
319,6,1,0,4,5
320,6,2,0,4,5
321,6,3,0,4,5
322,6,4,0,4,5
323,0,0,1,4,5
324,0,0,2,4,5
325,4,6,0,5,5
326,5,5,0,5,5
327,5,6,0,5,5
328,6,4,0,5,5
329,6,5,0,5,5
330,6,6,0,5,5
331,0,0,1,5,5
332,0,0,2,5,5
333,0,0,0,0,6
334,1,0,0,1,6
335,1,1,0,1,6
336,2,0,0,1,6
337,1,0,0,2,6
338,1,1,0,2,6
339,1,2,0,2,6
340,2,0,0,2,6
341,2,1,0,2,6
342,3,0,0,2,6
343,1,2,0,3,6
344,1,3,0,3,6
345,2,1,0,3,6
346,2,2,0,3,6
347,2,3,0,3,6
348,3,0,0,3,6
349,3,1,0,3,6
350,3,2,0,3,6
351,4,0,0,3,6
352,4,1,0,3,6
353,1,4,0,4,6
354,1,5,0,4,6
355,1,6,0,4,6
356,2,3,0,4,6
357,2,4,0,4,6
358,2,5,0,4,6
359,2,6,0,4,6
360,3,2,0,4,6
361,3,3,0,4,6
362,3,4,0,4,6
363,3,5,0,4,6
364,4,1,0,4,6
365,4,2,0,4,6
366,4,3,0,4,6
367,4,4,0,4,6
368,5,1,0,4,6
369,5,2,0,4,6
370,5,3,0,4,6
371,6,0,0,4,6
372,6,1,0,4,6
373,6,2,0,4,6
374,0,0,1,4,6
375,0,0,2,4,6
376,2,5,0,5,6
377,2,6,0,5,6
378,3,4,0,5,6
379,3,5,0,5,6
380,3,6,0,5,6
381,4,3,0,5,6
382,4,4,0,5,6
383,4,5,0,5,6
384,4,6,0,5,6
385,5,2,0,5,6
386,5,3,0,5,6
387,5,4,0,5,6
388,5,5,0,5,6
389,6,1,0,5,6
390,6,2,0,5,6
391,6,3,0,5,6
392,6,4,0,5,6
393,0,0,1,5,6
394,0,0,2,5,6
395,0,0,0,0,7
396,2,1,0,1,7
397,2,2,0,1,7
398,3,1,0,1,7
399,3,2,0,1,7
400,2,1,0,2,7
401,2,2,0,2,7
402,3,1,0,2,7
403,3,2,0,2,7
404,3,3,0,3,7
405,3,4,0,3,7
406,4,2,0,3,7
407,4,3,0,3,7
408,5,1,0,3,7
409,5,2,0,3,7
410,6,1,0,3,7
411,3,5,0,4,7
412,3,6,0,4,7
413,4,4,0,4,7
414,4,5,0,4,7
415,4,6,0,4,7
416,5,3,0,4,7
417,5,4,0,4,7
418,5,5,0,4,7
419,5,6,0,4,7
420,6,2,0,4,7
421,6,3,0,4,7
422,6,4,0,4,7
423,6,5,0,4,7
424,0,0,1,4,7
425,0,0,2,4,7
426,4,6,0,5,7
427,5,5,0,5,7
428,5,6,0,5,7
429,6,4,0,5,7
430,6,5,0,5,7
431,6,6,0,5,7
432,0,0,1,5,7
433,0,0,2,5,7
434,0,0,0,0,8
435,1,1,0,1,8
436,1,2,0,1,8
437,2,0,0,1,8
438,2,1,0,1,8
439,3,0,0,1,8
440,1,3,0,2,8
441,1,4,0,2,8
442,2,1,0,2,8
443,2,2,0,2,8
444,2,3,0,2,8
445,3,0,0,2,8
446,3,1,0,2,8
447,3,2,0,2,8
448,4,0,0,2,8
449,4,1,0,2,8
450,5,0,0,2,8
451,1,5,0,3,8
452,1,6,0,3,8
453,2,4,0,3,8
454,2,5,0,3,8
455,2,6,0,3,8
456,3,3,0,3,8
457,3,4,0,3,8
458,3,5,0,3,8
459,3,6,0,3,8
460,4,2,0,3,8
461,4,3,0,3,8
462,4,4,0,3,8
463,4,5,0,3,8
464,5,1,0,3,8
465,5,2,0,3,8
466,5,3,0,3,8
467,5,4,0,3,8
468,6,1,0,3,8
469,6,2,0,3,8
470,6,3,0,3,8
471,0,0,1,3,8
472,0,0,2,3,8
473,1,6,0,4,8
474,2,5,0,4,8
475,2,6,0,4,8
476,3,4,0,4,8
477,3,5,0,4,8
478,3,6,0,4,8
479,4,3,0,4,8
480,4,4,0,4,8
481,4,5,0,4,8
482,4,6,0,4,8
483,5,2,0,4,8
484,5,3,0,4,8
485,5,4,0,4,8
486,5,5,0,4,8
487,6,1,0,4,8
488,6,2,0,4,8
489,6,3,0,4,8
490,6,4,0,4,8
491,0,0,1,4,8
492,0,0,2,4,8
493,2,6,0,5,8
494,3,5,0,5,8
495,3,6,0,5,8
496,4,4,0,5,8
497,4,5,0,5,8
498,4,6,0,5,8
499,5,3,0,5,8
500,5,4,0,5,8
501,5,5,0,5,8
502,6,2,0,5,8
503,6,3,0,5,8
504,6,4,0,5,8
505,0,0,1,5,8
506,0,0,2,5,8
507,0,0,0,0,9
508,0,1,0,1,9
509,0,2,0,1,9
510,0,3,0,1,9
511,1,0,0,1,9
512,1,1,0,1,9
513,1,2,0,1,9
514,2,0,0,1,9
515,3,0,0,1,9
516,0,3,0,2,9
517,0,4,0,2,9
518,0,5,0,2,9
519,1,2,0,2,9
520,1,3,0,2,9
521,1,4,0,2,9
522,1,5,0,2,9
523,2,1,0,2,9
524,2,2,0,2,9
525,2,3,0,2,9
526,2,4,0,2,9
527,3,0,0,2,9
528,3,1,0,2,9
529,3,2,0,2,9
530,3,3,0,2,9
531,4,0,0,2,9
532,4,1,0,2,9
533,4,2,0,2,9
534,5,0,0,2,9
535,5,1,0,2,9
536,6,0,0,2,9
537,1,3,0,3,9
538,1,4,0,3,9
539,1,5,0,3,9
540,2,2,0,3,9
541,2,3,0,3,9
542,2,4,0,3,9
543,2,5,0,3,9
544,3,1,0,3,9
545,3,2,0,3,9
546,3,3,0,3,9
547,3,4,0,3,9
548,4,0,0,3,9
549,4,1,0,3,9
550,4,2,0,3,9
551,4,3,0,3,9
552,5,0,0,3,9
553,5,1,0,3,9
554,5,2,0,3,9
555,6,0,0,3,9
556,6,1,0,3,9
557,0,0,1,3,9
558,5,6,0,4,9
559,6,5,0,4,9
560,6,6,0,4,9
561,0,0,1,4,9
562,0,0,2,4,9
563,6,6,0,5,9
564,0,0,1,5,9
565,0,0,2,5,9
566,0,0,0,0,10
567,0,3,0,1,10
568,1,1,0,1,10
569,1,2,0,1,10
570,1,3,0,1,10
571,2,1,0,1,10
572,0,4,0,2,10
573,0,5,0,2,10
574,0,6,0,2,10
575,1,3,0,2,10
576,1,4,0,2,10
577,1,5,0,2,10
578,2,2,0,2,10
579,2,3,0,2,10
580,2,4,0,2,10
581,3,1,0,2,10
582,3,2,0,2,10
583,3,3,0,2,10
584,4,1,0,2,10
585,4,2,0,2,10
586,5,1,0,2,10
587,1,6,0,3,10
588,2,5,0,3,10
589,2,6,0,3,10
590,3,4,0,3,10
591,3,5,0,3,10
592,3,6,0,3,10
593,4,3,0,3,10
594,4,4,0,3,10
595,4,5,0,3,10
596,5,2,0,3,10
597,5,3,0,3,10
598,5,4,0,3,10
599,6,1,0,3,10
600,6,2,0,3,10
601,6,3,0,3,10
602,0,0,1,3,10
603,0,0,2,3,10
604,1,6,0,4,10
605,2,5,0,4,10
606,2,6,0,4,10
607,3,4,0,4,10
608,3,5,0,4,10
609,3,6,0,4,10
610,4,3,0,4,10
611,4,4,0,4,10
612,4,5,0,4,10
613,4,6,0,4,10
614,5,2,0,4,10
615,5,3,0,4,10
616,5,4,0,4,10
617,5,5,0,4,10
618,5,6,0,4,10
619,6,1,0,4,10
620,6,2,0,4,10
621,6,3,0,4,10
622,6,4,0,4,10
623,6,5,0,4,10
624,6,6,0,4,10
625,0,0,1,4,10
626,0,0,2,4,10
627,4,6,0,5,10
628,5,5,0,5,10
629,5,6,0,5,10
630,6,4,0,5,10
631,6,5,0,5,10
632,6,6,0,5,10
633,0,0,1,5,10
634,0,0,2,5,10
635,0,0,0,0,11
636,0,0,0,1,11
637,0,1,0,1,11
638,0,2,0,1,11
639,1,0,0,1,11
640,1,1,0,1,11
641,2,0,0,1,11
642,0,2,0,2,11
643,1,1,0,2,11
644,2,0,0,2,11
645,0,2,0,3,11
646,0,3,0,3,11
647,0,4,0,3,11
648,0,5,0,3,11
649,1,1,0,3,11
650,1,2,0,3,11
651,1,3,0,3,11
652,1,4,0,3,11
653,2,0,0,3,11
654,2,1,0,3,11
655,2,2,0,3,11
656,2,3,0,3,11
657,3,0,0,3,11
658,3,1,0,3,11
659,3,2,0,3,11
660,4,0,0,3,11
661,4,1,0,3,11
662,5,0,0,3,11
663,1,4,0,4,11
664,1,5,0,4,11
665,1,6,0,4,11
666,2,3,0,4,11
667,2,4,0,4,11
668,2,5,0,4,11
669,2,6,0,4,11
670,3,2,0,4,11
671,3,3,0,4,11
672,3,4,0,4,11
673,3,5,0,4,11
674,4,1,0,4,11
675,4,2,0,4,11
676,4,3,0,4,11
677,4,4,0,4,11
678,5,0,0,4,11
679,5,1,0,4,11
680,5,2,0,4,11
681,5,3,0,4,11
682,6,0,0,4,11
683,6,1,0,4,11
684,6,2,0,4,11
685,0,0,1,4,11
686,0,0,2,4,11
687,1,5,0,5,11
688,1,6,0,5,11
689,2,4,0,5,11
690,2,5,0,5,11
691,2,6,0,5,11
692,3,3,0,5,11
693,3,4,0,5,11
694,3,5,0,5,11
695,3,6,0,5,11
696,4,2,0,5,11
697,4,3,0,5,11
698,4,4,0,5,11
699,4,5,0,5,11
700,4,6,0,5,11
701,5,1,0,5,11
702,5,2,0,5,11
703,5,3,0,5,11
704,5,4,0,5,11
705,5,5,0,5,11
706,5,6,0,5,11
707,6,1,0,5,11
708,6,2,0,5,11
709,6,3,0,5,11
710,6,4,0,5,11
711,6,5,0,5,11
712,0,0,1,5,11
713,0,0,2,5,11
714,0,0,0,0,12
715,0,0,0,1,12
716,0,1,0,1,12
717,0,2,0,1,12
718,1,0,0,1,12
719,1,1,0,1,12
720,0,1,0,2,12
721,0,2,0,2,12
722,0,3,0,2,12
723,1,0,0,2,12
724,1,1,0,2,12
725,1,2,0,2,12
726,2,0,0,2,12
727,2,1,0,2,12
728,3,0,0,2,12
729,0,5,0,3,12
730,0,6,0,3,12
731,1,3,0,3,12
732,1,4,0,3,12
733,1,5,0,3,12
734,2,2,0,3,12
735,2,3,0,3,12
736,2,4,0,3,12
737,3,1,0,3,12
738,3,2,0,3,12
739,3,3,0,3,12
740,4,0,0,3,12
741,4,1,0,3,12
742,4,2,0,3,12
743,5,0,0,3,12
744,5,1,0,3,12
745,0,6,0,4,12
746,1,5,0,4,12
747,1,6,0,4,12
748,2,4,0,4,12
749,2,5,0,4,12
750,2,6,0,4,12
751,3,3,0,4,12
752,3,4,0,4,12
753,3,5,0,4,12
754,4,2,0,4,12
755,4,3,0,4,12
756,4,4,0,4,12
757,5,1,0,4,12
758,5,2,0,4,12
759,5,3,0,4,12
760,6,0,0,4,12
761,6,1,0,4,12
762,6,2,0,4,12
763,0,0,1,4,12
764,0,0,2,4,12
765,3,6,0,5,12
766,4,5,0,5,12
767,4,6,0,5,12
768,5,4,0,5,12
769,5,5,0,5,12
770,5,6,0,5,12
771,6,3,0,5,12
772,6,4,0,5,12
773,6,5,0,5,12
774,0,0,1,5,12
775,0,0,2,5,12
776,0,0,0,0,13
777,0,0,0,1,13
778,0,1,0,1,13
779,1,0,0,1,13
780,0,2,0,2,13
781,0,3,0,2,13
782,1,1,0,2,13
783,1,2,0,2,13
784,2,0,0,2,13
785,2,1,0,2,13
786,3,0,0,2,13
787,0,4,0,3,13
788,0,5,0,3,13
789,0,6,0,3,13
790,1,3,0,3,13
791,1,4,0,3,13
792,1,5,0,3,13
793,1,6,0,3,13
794,2,2,0,3,13
795,2,3,0,3,13
796,2,4,0,3,13
797,2,5,0,3,13
798,3,1,0,3,13
799,3,2,0,3,13
800,3,3,0,3,13
801,3,4,0,3,13
802,4,0,0,3,13
803,4,1,0,3,13
804,4,2,0,3,13
805,4,3,0,3,13
806,5,0,0,3,13
807,5,1,0,3,13
808,5,2,0,3,13
809,6,0,0,3,13
810,6,1,0,3,13
811,0,0,1,3,13
812,0,0,2,3,13
813,0,4,0,4,13
814,0,5,0,4,13
815,0,6,0,4,13
816,1,3,0,4,13
817,1,4,0,4,13
818,1,5,0,4,13
819,1,6,0,4,13
820,2,2,0,4,13
821,2,3,0,4,13
822,2,4,0,4,13
823,2,5,0,4,13
824,2,6,0,4,13
825,3,1,0,4,13
826,3,2,0,4,13
827,3,3,0,4,13
828,3,4,0,4,13
829,3,5,0,4,13
830,4,0,0,4,13
831,4,1,0,4,13
832,4,2,0,4,13
833,4,3,0,4,13
834,4,4,0,4,13
835,5,0,0,4,13
836,5,1,0,4,13
837,5,2,0,4,13
838,5,3,0,4,13
839,6,0,0,4,13
840,6,1,0,4,13
841,6,2,0,4,13
842,0,0,1,4,13
843,0,0,2,4,13
844,2,6,0,5,13
845,3,5,0,5,13
846,3,6,0,5,13
847,4,4,0,5,13
848,4,5,0,5,13
849,5,3,0,5,13
850,5,4,0,5,13
851,6,2,0,5,13
852,6,3,0,5,13
853,0,0,1,5,13
854,0,0,2,5,13
855,0,0,0,0,14
856,0,1,0,1,14
857,1,0,0,1,14
858,0,2,0,2,14
859,0,3,0,2,14
860,0,4,0,2,14
861,1,1,0,2,14
862,1,2,0,2,14
863,1,3,0,2,14
864,2,0,0,2,14
865,2,1,0,2,14
866,2,2,0,2,14
867,2,3,0,2,14
868,3,0,0,2,14
869,3,1,0,2,14
870,3,2,0,2,14
871,4,0,0,2,14
872,4,1,0,2,14
873,5,0,0,2,14
874,0,3,0,3,14
875,0,4,0,3,14
876,0,5,0,3,14
877,1,1,0,3,14
878,1,2,0,3,14
879,1,3,0,3,14
880,1,4,0,3,14
881,2,0,0,3,14
882,2,1,0,3,14
883,2,2,0,3,14
884,2,3,0,3,14
885,3,0,0,3,14
886,3,1,0,3,14
887,3,2,0,3,14
888,4,0,0,3,14
889,4,1,0,3,14
890,5,0,0,3,14
891,0,6,0,4,14
892,1,5,0,4,14
893,1,6,0,4,14
894,2,4,0,4,14
895,2,5,0,4,14
896,2,6,0,4,14
897,3,3,0,4,14
898,3,4,0,4,14
899,3,5,0,4,14
900,4,2,0,4,14
901,4,3,0,4,14
902,4,4,0,4,14
903,5,1,0,4,14
904,5,2,0,4,14
905,5,3,0,4,14
906,6,0,0,4,14
907,6,1,0,4,14
908,6,2,0,4,14
909,0,0,1,4,14
910,0,0,2,4,14
911,4,6,0,5,14
912,5,5,0,5,14
913,5,6,0,5,14
914,6,4,0,5,14
915,6,5,0,5,14
916,0,0,1,5,14
917,0,0,2,5,14
918,0,0,0,0,15
919,1,2,0,1,15
920,1,3,0,1,15
921,2,1,0,1,15
922,2,2,0,1,15
923,2,3,0,1,15
924,3,1,0,1,15
925,3,2,0,1,15
926,4,1,0,1,15
927,1,3,0,2,15
928,1,4,0,2,15
929,1,5,0,2,15
930,2,1,0,2,15
931,2,2,0,2,15
932,2,3,0,2,15
933,2,4,0,2,15
934,3,1,0,2,15
935,3,2,0,2,15
936,3,3,0,2,15
937,4,1,0,2,15
938,4,2,0,2,15
939,4,3,0,2,15
940,5,1,0,2,15
941,5,2,0,2,15
942,6,1,0,2,15
943,1,4,0,3,15
944,1,5,0,3,15
945,1,6,0,3,15
946,2,3,0,3,15
947,2,4,0,3,15
948,2,5,0,3,15
949,3,2,0,3,15
950,3,3,0,3,15
951,3,4,0,3,15
952,4,1,0,3,15
953,4,2,0,3,15
954,4,3,0,3,15
955,4,4,0,3,15
956,5,1,0,3,15
957,5,2,0,3,15
958,5,3,0,3,15
959,6,1,0,3,15
960,6,2,0,3,15
961,0,0,1,3,15
962,1,4,0,4,15
963,1,5,0,4,15
964,1,6,0,4,15
965,2,3,0,4,15
966,2,4,0,4,15
967,2,5,0,4,15
968,2,6,0,4,15
969,3,2,0,4,15
970,3,3,0,4,15
971,3,4,0,4,15
972,3,5,0,4,15
973,4,1,0,4,15
974,4,2,0,4,15
975,4,3,0,4,15
976,4,4,0,4,15
977,5,1,0,4,15
978,5,2,0,4,15
979,5,3,0,4,15
980,6,1,0,4,15
981,6,2,0,4,15
982,0,0,1,4,15
983,0,0,2,4,15
984,2,6,0,5,15
985,3,5,0,5,15
986,3,6,0,5,15
987,4,4,0,5,15
988,4,5,0,5,15
989,4,6,0,5,15
990,5,3,0,5,15
991,5,4,0,5,15
992,5,5,0,5,15
993,5,6,0,5,15
994,6,2,0,5,15
995,6,3,0,5,15
996,6,4,0,5,15
997,6,5,0,5,15
998,0,0,1,5,15
999,0,0,2,5,15
1000,0,0,0,0,16
1001,0,0,0,1,16
1002,0,0,0,2,16
1003,0,1,0,2,16
1004,0,1,0,3,16
1005,0,2,0,3,16
1006,1,0,0,3,16
1007,1,1,0,3,16
1008,2,0,0,3,16
1009,1,1,0,4,16
1010,1,2,0,4,16
1011,2,0,0,4,16
1012,2,1,0,4,16
1013,2,2,0,4,16
1014,3,0,0,4,16
1015,3,1,0,4,16
1016,4,0,0,4,16
1017,2,3,0,5,16
1018,3,2,0,5,16
1019,3,3,0,5,16
1020,3,4,0,5,16
1021,4,1,0,5,16
1022,4,2,0,5,16
1023,4,3,0,5,16
1024,5,0,0,5,16
1025,5,1,0,5,16
1026,5,2,0,5,16
1027,6,0,0,5,16
1028,6,1,0,5,16
1029,0,0,1,5,16
1030,0,0,0,0,17
1031,0,1,0,1,17
1032,0,2,0,1,17
1033,1,1,0,1,17
1034,2,0,0,1,17
1035,0,6,0,2,17
1036,1,4,0,2,17
1037,1,5,0,2,17
1038,1,6,0,2,17
1039,2,3,0,2,17
1040,2,4,0,2,17
1041,2,5,0,2,17
1042,3,2,0,2,17
1043,3,3,0,2,17
1044,3,4,0,2,17
1045,4,1,0,2,17
1046,4,2,0,2,17
1047,4,3,0,2,17
1048,5,1,0,2,17
1049,5,2,0,2,17
1050,0,0,2,2,17
1051,1,6,0,3,17
1052,2,5,0,3,17
1053,2,6,0,3,17
1054,3,4,0,3,17
1055,3,5,0,3,17
1056,4,3,0,3,17
1057,4,4,0,3,17
1058,5,2,0,3,17
1059,5,3,0,3,17
1060,6,1,0,3,17
1061,6,2,0,3,17
1062,0,0,1,3,17
1063,0,0,2,3,17
1064,3,6,0,4,17
1065,4,5,0,4,17
1066,4,6,0,4,17
1067,5,4,0,4,17
1068,5,5,0,4,17
1069,5,6,0,4,17
1070,6,3,0,4,17
1071,6,4,0,4,17
1072,6,5,0,4,17
1073,0,0,1,4,17
1074,0,0,2,4,17
1075,3,6,0,5,17
1076,4,5,0,5,17
1077,4,6,0,5,17
1078,5,4,0,5,17
1079,5,5,0,5,17
1080,5,6,0,5,17
1081,6,3,0,5,17
1082,6,4,0,5,17
1083,6,5,0,5,17
1084,6,6,0,5,17
1085,0,0,1,5,17
1086,0,0,2,5,17
1087,0,0,0,0,18
1088,0,0,0,1,18
1089,0,1,0,1,18
1090,0,2,0,1,18
1091,1,0,0,1,18
1092,1,1,0,1,18
1093,1,2,0,1,18
1094,2,0,0,1,18
1095,2,1,0,1,18
1096,3,0,0,1,18
1097,1,1,0,2,18
1098,1,2,0,2,18
1099,1,3,0,2,18
1100,2,0,0,2,18
1101,2,1,0,2,18
1102,2,2,0,2,18
1103,3,0,0,2,18
1104,3,1,0,2,18
1105,4,0,0,2,18
1106,1,4,0,3,18
1107,1,5,0,3,18
1108,2,3,0,3,18
1109,2,4,0,3,18
1110,2,5,0,3,18
1111,3,2,0,3,18
1112,3,3,0,3,18
1113,3,4,0,3,18
1114,4,1,0,3,18
1115,4,2,0,3,18
1116,4,3,0,3,18
1117,5,0,0,3,18
1118,5,1,0,3,18
1119,5,2,0,3,18
1120,6,0,0,3,18
1121,6,1,0,3,18
1122,0,0,1,3,18
1123,2,5,0,4,18
1124,3,4,0,4,18
1125,4,3,0,4,18
1126,5,2,0,4,18
1127,6,1,0,4,18
1128,0,0,1,4,18
1129,2,6,0,5,18
1130,3,5,0,5,18
1131,4,4,0,5,18
1132,5,3,0,5,18
1133,6,2,0,5,18
1134,0,0,1,5,18
1135,0,0,0,0,19
1136,0,0,0,1,19
1137,0,1,0,1,19
1138,0,2,0,1,19
1139,1,1,0,1,19
1140,0,1,0,2,19
1141,0,2,0,2,19
1142,0,3,0,2,19
1143,1,1,0,2,19
1144,1,2,0,2,19
1145,0,3,0,3,19
1146,0,4,0,3,19
1147,1,2,0,3,19
1148,1,3,0,3,19
1149,2,1,0,3,19
